Enunciado;Opcao_A;Opcao_B;Opcao_C;Opcao_D;Resposta_Correta
Resolva a equação para x: 7x + 23 = 93;20;19;10;5;C
Resolva a equação para x: 6x + 12 = 24;11;2;6;10;B
Resolva a equação para x: 2x + 20 = 24;1;15;9;2;D
Resolva a equação para x: 3x + 7 = 34;4;8;9;18;C
Resolva a equação para x: 2x + 5 = 15;11;5;7;9;B
Resolva a equação para x: 8x + 25 = 49;13;1;5;3;D
Resolva a equação para x: 8x + 5 = 85;18;10;3;9;B
Resolva a equação para x: 6x + 20 = 74;21;9;1;19;B
Resolva a equação para x: 6x + 10 = 82;8;18;0;12;D
Resolva a equação para x: 4x + 25 = 33;5;9;7;2;D
Resolva a equação para x: 3x + 25 = 55;6;5;10;9;C
Resolva a equação para x: 6x + 9 = 39;2;19;5;15;C
Resolva a equação para x: 5x + 18 = 78;7;8;12;9;C
Resolva a equação para x: 8x + 21 = 101;10;24;7;23;A
Resolva a equação para x: 9x + 7 = 43;16;9;13;4;D
Resolva a equação para x: 6x + 6 = 18;8;0;4;2;D
Resolva a equação para x: 4x + 22 = 66;1;12;11;8;C
Resolva a equação para x: 7x + 20 = 48;16;2;18;4;D
Resolva a equação para x: 8x + 19 = 51;9;4;2;16;B
Resolva a equação para x: 5x + 5 = 65;6;12;15;19;B
Resolva a equação para x: 8x + 10 = 98;11;10;18;20;A
Resolva a equação para x: 9x + 11 = 47;6;4;17;7;B
Resolva a equação para x: 8x + 21 = 45;10;3;4;0;B
Resolva a equação para x: 4x + 24 = 36;17;3;4;14;B
Resolva a equação para x: 9x + 20 = 74;6;17;10;15;A
Resolva a equação para x: 6x + 2 = 50;20;12;17;8;D
Resolva a equação para x: 8x + 18 = 34;15;2;9;3;B
Resolva a equação para x: 3x + 13 = 49;12;11;8;15;A
Resolva a equação para x: 4x + 15 = 55;10;1;21;7;A
Resolva a equação para x: 8x + 18 = 98;10;2;16;13;A
Resolva a equação para x: 8x + 17 = 33;12;3;13;2;D
Resolva a equação para x: 7x + 2 = 37;12;16;11;5;D
Resolva a equação para x: 7x + 21 = 77;10;4;8;22;C
Resolva a equação para x: 7x + 19 = 61;6;13;11;8;A
Resolva a equação para x: 7x + 20 = 48;15;4;18;3;B
Resolva a equação para x: 9x + 18 = 117;6;11;20;12;B
Resolva a equação para x: 4x + 8 = 36;3;7;2;14;B
Resolva a equação para x: 4x + 13 = 41;9;20;7;2;C
Resolva a equação para x: 3x + 24 = 36;16;6;13;4;D
Resolva a equação para x: 3x + 2 = 26;17;8;16;11;B
Resolva a equação para x: 9x + 16 = 43;2;3;8;12;B
Resolva a equação para x: 9x + 10 = 55;5;6;2;14;A
Resolva a equação para x: 5x + 16 = 61;3;7;5;9;D
Resolva a equação para x: 5x + 20 = 45;12;14;6;5;D
Resolva a equação para x: 4x + 19 = 47;8;0;1;7;D
Resolva a equação para x: 7x + 23 = 44;3;2;14;10;A
