Faixa_Etaria;Enunciado;Opcao_A;Opcao_B;Opcao_C;Opcao_D;Resposta_Correta
6-8;Quanto é 12 + 17?;32;28;29;20;C
6-8;Quanto é 38 + 10?;45;36;48;43;C
6-8;Quanto é 20 + 12?;23;45;37;32;D
6-8;Quanto é 39 + 33?;76;86;72;65;C
6-8;Quanto é 15 + 6?;29;13;21;32;C
6-8;Quanto é 50 + 38?;88;87;75;79;A
6-8;Quanto é 3 + 31?;41;34;22;47;B
6-8;Quanto é 48 + 35?;77;87;85;83;D
6-8;Quanto é 26 + 47?;73;80;87;74;A
6-8;Quanto é 14 + 31?;41;33;45;34;C
6-8;Quanto é 25 + 39?;54;64;59;67;B
6-8;Quanto é 39 + 49?;102;90;89;88;D
6-8;Quanto é 50 + 34?;83;78;84;91;C
6-8;Quanto é 7 + 40?;47;38;52;32;A
6-8;Quanto é 24 + 27?;54;51;49;42;B
6-8;Quanto é 50 + 19?;69;62;61;83;A
6-8;Quanto é 36 + 8?;53;37;46;44;D
6-8;Quanto é 12 + 29?;33;41;27;31;B
6-8;Quanto é 6 + 11?;26;5;4;17;D
6-8;Quanto é 4 + 45?;49;38;42;54;A
6-8;Quanto é 32 + 46?;64;86;78;88;C
6-8;Quanto é 5 + 27?;27;32;28;35;B
6-8;Quanto é 12 + 50?;56;47;65;62;D
6-8;Quanto é 17 + 43?;62;60;53;46;B
6-8;Quanto é 29 + 25?;54;61;48;41;A
6-8;Quanto é 26 + 12?;30;39;38;48;C
6-8;Quanto é 44 + 6?;64;45;50;63;C
6-8;Quanto é 28 + 36?;67;58;64;53;C
6-8;Quanto é 34 + 44?;67;74;78;63;C
6-8;Quanto é 30 + 15?;51;45;36;33;B
6-8;Quanto é 17 + 6?;22;37;23;34;C
6-8;Quanto é 14 + 9?;21;14;8;23;D
6-8;Quanto é 32 + 18?;52;50;58;42;B
6-8;Quanto é 2 + 49?;56;47;38;51;D
6-8;Quanto é 43 + 35?;68;78;85;75;B
6-8;Quanto é 31 + 27?;60;62;55;58;D
6-8;Quanto é 16 + 40?;66;56;41;53;B
6-8;Quanto é 16 + 36?;39;55;60;52;D
6-8;Quanto é 18 + 33?;61;51;42;55;B
6-8;Quanto é 2 + 15?;4;31;11;17;D
6-8;Quanto é 50 + 26?;77;76;70;84;B
6-8;Quanto é 35 + 47?;78;81;82;75;C
6-8;Quanto é 14 + 35?;49;38;34;42;A
6-8;Quanto é 15 + 20?;24;43;35;41;C
6-8;Quanto é 40 + 20?;73;57;60;69;C
6-8;Quanto é 3 + 32?;48;35;22;29;B
6-8;Quanto é 9 + 18?;32;19;27;36;C
6-8;Quanto é 10 + 30?;30;28;42;40;D
6-8;Quanto é 21 + 32?;58;59;53;48;C
6-8;Quanto é 2 + 35?;37;26;40;25;A
6-8;Quanto é 45 + 46?;91;96;76;100;A
6-8;Quanto é 35 + 42?;64;77;80;85;B
6-8;Quanto é 10 + 3?;3;27;9;13;D
6-8;Quanto é 12 + 20?;33;30;32;29;C
6-8;Quanto é 49 + 48?;97;83;103;102;A
6-8;Quanto é 49 + 4?;53;43;67;40;A
6-8;Quanto é 26 + 26?;55;60;52;46;C
6-8;Quanto é 39 + 18?;50;52;57;67;C
6-8;Quanto é 17 + 9?;37;26;31;30;B
6-8;Quanto é 25 + 33?;65;44;51;58;D
6-8;Quanto é 36 + 47?;93;94;83;81;C
6-8;Quanto é 16 + 31?;37;52;47;41;C
6-8;Quanto é 27 + 43?;72;59;69;70;D
6-8;Quanto é 20 + 3?;10;19;23;18;C
6-8;Quanto é 24 + 33?;55;57;71;58;B
6-8;Quanto é 5 + 15?;27;33;20;9;C
6-8;Quanto é 36 + 42?;78;75;77;65;A
6-8;Quanto é 9 + 13?;23;13;22;33;C
6-8;Quanto é 14 + 39?;55;43;53;42;C
6-8;Quanto é 35 + 3?;40;48;25;38;D
6-8;Quanto é 34 + 2?;36;37;31;35;A
6-8;Quanto é 36 + 31?;65;71;66;67;D
6-8;Quanto é 48 + 17?;77;65;59;78;B
6-8;Quanto é 4 + 7?;17;13;11;6;C
6-8;Quanto é 50 + 49?;108;94;99;107;C
6-8;Quanto é 29 + 38?;67;68;66;80;A
6-8;Quanto é 40 + 46?;75;86;78;83;B
6-8;Quanto é 20 + 30?;41;45;50;36;C
6-8;Quanto é 14 + 5?;19;27;5;22;A
6-8;Quanto é 47 + 2?;45;49;40;61;B
6-8;Quanto é 47 + 3?;50;37;41;61;A
6-8;Quanto é 26 + 14?;40;34;39;45;A
6-8;Quanto é 21 + 18?;53;39;30;37;B
6-8;Quanto é 36 + 10?;46;45;56;59;A
6-8;Quanto é 46 + 50?;96;105;102;91;A
6-8;Quanto é 47 + 9?;52;60;56;43;C
6-8;Quanto é 24 + 29?;65;53;63;55;B
6-8;Quanto é 42 + 2?;49;44;38;46;B
6-8;Quanto é 16 + 30?;34;54;52;46;D
6-8;Quanto é 42 + 17?;67;54;45;59;D
6-8;Quanto é 16 + 33?;49;44;57;60;A
6-8;Quanto é 45 + 22?;67;70;72;71;A
6-8;Quanto é 30 + 29?;64;47;59;53;C
6-8;Quanto é 7 + 22?;15;29;34;21;B
6-8;Quanto é 7 + 29?;43;36;34;24;B
6-8;Quanto é 14 + 12?;39;29;20;26;D
6-8;Quanto é 5 + 34?;39;34;31;50;A
6-8;Quanto é 33 + 24?;62;57;71;67;B
6-8;Quanto é 45 + 10?;68;48;58;55;D
6-8;Quanto é 16 + 39?;55;47;45;51;A
6-8;Quanto é 3 + 41?;52;57;44;47;C
6-8;Quanto é 28 + 44?;60;77;72;71;C
6-8;Quanto é 7 + 12?;17;20;22;19;D
6-8;Quanto é 37 + 47?;94;81;84;93;C
6-8;Quanto é 21 + 24?;37;44;48;45;D
6-8;Quanto é 12 + 5?;4;27;17;3;C
6-8;Quanto é 34 + 24?;71;47;59;58;D
6-8;Quanto é 29 + 15?;44;29;56;46;A
6-8;Quanto é 36 + 5?;42;46;45;41;D
6-8;Quanto é 25 + 23?;48;52;62;50;A
6-8;Quanto é 17 + 25?;53;42;48;39;B
6-8;Quanto é 30 + 33?;63;56;66;70;A
6-8;Quanto é 20 + 18?;48;38;39;23;B
6-8;Quanto é 44 + 31?;75;74;87;72;A
6-8;Quanto é 4 + 9?;3;13;8;25;B
6-8;Quanto é 10 + 20?;39;30;34;26;B
6-8;Quanto é 48 + 16?;60;77;52;64;D
6-8;Quanto é 29 + 21?;41;38;62;50;D
6-8;Quanto é 45 + 27?;72;69;60;77;A
6-8;Quanto é 4 + 16?;20;31;33;8;A
6-8;Quanto é 33 + 39?;84;74;60;72;D
6-8;Quanto é 11 + 20?;34;31;20;22;B
6-8;Quanto é 13 + 40?;40;65;53;58;C
6-8;Quanto é 20 + 34?;54;55;51;46;A
6-8;Quanto é 17 + 11?;25;28;19;17;B
6-8;Quanto é 10 + 39?;34;54;49;39;C
6-8;Quanto é 32 + 23?;55;43;45;56;A
6-8;Quanto é 13 + 13?;19;26;30;17;B
6-8;Quanto é 38 + 22?;67;59;69;60;D
6-8;Quanto é 44 + 10?;48;41;64;54;D
6-8;Quanto é 26 + 25?;63;55;41;51;D
6-8;Quanto é 48 + 46?;92;94;104;99;B
6-8;Quanto é 26 + 33?;60;73;66;59;D
6-8;Quanto é 45 + 43?;88;86;98;99;A
6-8;Quanto é 24 + 35?;53;59;48;61;B
6-8;Quanto é 5 + 12?;30;27;17;9;C
6-8;Quanto é 21 + 13?;37;20;34;31;C
6-8;Quanto é 29 + 6?;27;40;35;38;C
6-8;Quanto é 46 + 37?;68;94;78;83;D
6-8;Quanto é 18 + 24?;42;31;30;49;A
6-8;Quanto é 21 + 25?;39;53;46;42;C
6-8;Quanto é 27 + 49?;76;74;82;67;A
6-8;Quanto é 49 + 42?;87;101;91;102;C
6-8;Quanto é 6 + 3?;4;13;8;9;D
6-8;Quanto é 6 + 33?;48;31;43;39;D
6-8;Quanto é 8 + 3?;11;3;6;20;A
6-8;Quanto é 43 + 16?;59;70;53;46;A
6-8;Quanto é 9 + 30?;39;27;46;28;A
